# Kingdom of Loathing items that yield other items when used.
# Derived from {{acquire}} templates in the "When Used" section of every article in
# Category:Usable Items (and subcategories) on wiki.kingdomofloathing.com.
# Generated 2026-09-06 by scripts/fetch-kol-item-yields.mjs from 3402 pages.
#
# itemid: KoL's own item number, from the wiki's Cargo "Items" table. Empty when the
#         article has no Data: subpage to read one from.
# self_transform: all  = every yield is the same item in another state (e.g. a book
#                        becoming "<book> (used)") — no new items come out of it
#                 part = mixed; the self-transforming yields are prefixed with "*"
#                 no   = every yield is a different item, or the item pays only Meat
# meat: Meat the item pays out when used, as the wiki writes it ("400-600", "3,000",
#       "some"); " / " separates alternative outcomes. Empty = pays no Meat. Meat the
#       item COSTS you ({{meat|type=lose|...}}) is not counted here.
# class: what the userscript groups by; first match of multiuse, meat, random, items.
#        multiuse = using N at once decides what you get (from KoLMafia's MUSE recipes)
#        meat     = pays Meat; random = the wiki can only give a range or "some"
#        items    = a fixed set of items
# multiuse: the recipes, "N=what you get", "; "-separated. Empty unless class=multiuse.
# yields: "; "-separated; "xN" suffix is the quantity or range the wiki lists.
item	itemid	class	self_transform	meat	multiuse	yields
The Big Book of Communism	8785	items	all			*The Big Book of Communism (used)
The Crymbich Manuscript	10858	items	all			*the Crymbich Manuscript (used)
The Emperor's dry cleaning	8394	items	no			The Emperor's new hat; The Emperor's new shirt; The Emperor's new pants
The Encyclopedia of Fruit	11450	items	all			*The Encyclopedia of Fruit (used)
The Encyclopedia of Holiday Funerary Rites	12123	items	all			*The Encyclopedia of Holiday Funerary Rites (used)
The Journal of Mime Science Vol. 1	9635	items	all			*The Journal of Mime Science Vol. 1 (used)
The Journal of Mime Science Vol. 2	9637	items	all			*The Journal of Mime Science Vol. 2 (used)
The Journal of Mime Science Vol. 3	9639	items	all			*The Journal of Mime Science Vol. 3 (used)
The Journal of Mime Science Vol. 4	9641	items	all			*The Journal of Mime Science Vol. 4 (used)
The Journal of Mime Science Vol. 5	9643	items	all			*The Journal of Mime Science Vol. 5 (used)
The Journal of Mime Science Vol. 6	9645	items	all			*The Journal of Mime Science Vol. 6 (used)
The Joy of Wassailing	4844	items	all			*The Joy of Wassailing (used)
The Lost Pill Bottle	5699	items	no			bugbear purification pill; concentrated magicalness pill; Dogsgotnonoz pills; Knob Goblin learning pill; Marvin's marvelous pill; munchies pill; neurostim pill; physiostim pill; bitter pill; distention pill; Red Pill; synthetic dog hair pill; vitachoconutriment capsule
The Necbronomicon	5341	items	all			*The Necbronomicon (used)
The Night Before Crimbo, Ch. 1	10703	items	all			*The Night Before Crimbo, Ch. 1 (used)
The Night Before Crimbo, Ch. 2	10705	items	all			*The Night Before Crimbo, Ch. 2 (used)
The Night Before Crimbo, Ch. 3	10707	items	all			*The Night Before Crimbo, Ch. 3 (used)
The Night Before Crimbo, Ch. 4	10709	items	all			*The Night Before Crimbo, Ch. 4 (used)
The Night Before Crimbo, Ch. 5	10711	items	all			*The Night Before Crimbo, Ch. 5 (used)
The Night Before Crimbo, Ch. 6	10713	items	all			*The Night Before Crimbo, Ch. 6 (used)
The Nose Knows, A Guide to Smells	10798	items	all			*The Nose Knows, A Guide to Smells (read)
The Slug Lord's map	598	items	no			pants of the Slug Lord
The Spirit of Giving	10380	items	all			*The Spirit of Giving (used)
The Sword in the Steak (item)	6056	items	no			Meatcleaver
Thinknerd Blind-Packed Toy	7271	items	no			tiny plastic series 1(FF)
Thinknerd T-shirt grab bag	6082	items	no			Thinknerd T-Shirt
Tiny slimy cyst	4091	items	no			green peawee marble; brown crock marble; red China marble; lemonade marble; bumblebee marble; jet bennie marble; beige clambroth marble; steely marble; beach ball marble; black catseye marble; big bumboozer marble
Toe jam	4883	items	no			toe jam toast
Too Cold to Hold: How to Be Cool - A Memoir	11639	items	no			Too Cold to Hold: How to Be Cool - A Memo (read)
Toot Oriole care package	4855	items	no			bowl of oriole's nest soup x3; Mt. Noob Pale Ale x3
Traffic jam	4885	items	no			traffic jam toast
Trainbot autoassembly module	11061	items	no			leg-mounted Trainbots; shoulder-mounted Trainbot; head-mounted Trainbot
Transmission from planet Xi	7731	items	no			Xiblaxian holo-wrist-puter simcode
Triad summoning scroll	6141	meat	no	300-500		cheap Chinese beer x6
Trilobite candy mold	5491	items	no			gummi trilobite
Trivial Avocations board game	5502	random	no			Trivial Avocations Card: What? xsome; Trivial Avocations Card: When? xsome; Trivial Avocations Card: Where? xsome; Trivial Avocations Card: Who? xsome
Tropical Crimbo pressie	2213	items	no			tropical wrapping paper; tropical paperweight; Tiki lighter; deck of tropical cards; Crimbo ukulele; lucky Crimbo tiki necklace; bobble-hip hula elf doll
Tropical island souvenir crate	6727	random	no			Bottle of rum xsome; Little paper umbrella xsome; Tropical orchid xsome; packet of orchid seeds; gingham blouse; rhinestone cowboy shirt
Turtle wax	3914	items	no			turtle wax shield
Turtle wax greaves	3917	items	no			turtle wax shield
Turtle wax helmet	3916	items	no			turtle wax greaves
Turtlemail bits	3919	multiuse	no		3=turtlemail coif; 5=turtlemail breeches; 8=turtlemail hauberk	turtlemail coif; turtlemail breeches; turtlemail hauberk
Twitching time capsule	7579	random	no			chroner x4-5; liquid shifting time weirdness; chroner x4-5; solid shifting time weirdness; chroner x4-5
Uncle Crimbo's Rations	3671	random	no			can of franks 'n' beans xsome; bottle of peppermint schnapps xsome
Uncle Romulus	4407	items	all			*Uncle Romulus (used)
Undamaged Unbreakable Umbrella	10898	items	no			unbreakable umbrella (broken)
Underworld trunk	4275	items	no			Underworld truncheon; Staff of the Woodfire; Underworld flail
Undrilled cosmic bowling ball	10890	items	no			cosmic bowling ball
Unlocked meat locker	85	meat	no	93-106		
Unopened Bird-a-Day calendar	10433	items	no			Bird-a-Day calendar
Unopened Eight Days a Week Pill Keeper	10332	items	no			Eight Days a Week Pill Keeper
Unopened Pork Elf toiletries kit	12191	items	no			Pork Elf toiletries kit
Unopened diabolic pizza cube box	10334	items	no			diabolic pizza cube
Unopened tiny stillsuit	10931	items	no			tiny stillsuit
Unpeeled Peridot of Peril	11904	items	no			Peridot of Peril
Unrolling pin	874	random	no			wad of dough xsome
Unsmoothed velvet	8423	multiuse	no		3=smooth velvet bra; 5=smooth velvet pocket square; 6=smooth velvet socks; 7=smooth velvet hat; 8=smooth velvet shirt; 9=smooth velvet hanky; 10=smooth velvet pants	smooth velvet bra; smooth velvet pocket square; smooth velvet socks; smooth velvet hat; smooth velvet shirt; smooth velvet hanky; smooth velvet pants
Untorn tearaway pants package	11629	items	no			tearaway pants
Unused walkie-talkie	6845	items	no			walkie-talkie
Vampyric cloake pattern	10241	items	no			vampyric cloake
Volleyball	527	items	no			blood-faced volleyball
Wad of dough	159	items	no			flat dough
Wad of slimy rags	4122	items	no			crown-shaped beanie; hopping socks; letterman's jacket; poodle skirt
Warbear accoutrements chunk	6947	multiuse	no		9=warbear warscarf; 10=warbear laser bowtie; 11=warbear goggles; 21=warbear fleece-lined warscarf; 22=warbear plasma bowtie; 23=warbear snowblindness goggles; 35=warbear electric warscarf; 36=warbear nuclear bowtie; 37=warbear polarized goggles	warbear warscarf; warbear laser bowtie; warbear goggles; warbear fleece-lined warscarf; warbear plasma bowtie; warbear snowblindness goggles; warbear electric warscarf; warbear nuclear bowtie; warbear polarized goggles
Warbear breakfast machine	7056	items	no			breakfast mess; breakfast miracle
Warbear breakfast machine assembler	6971	items	no			warbear breakfast machine
Warbear empathy chip	6969	items	all			*warbear empathy chip (used)
Warbear helm fragment	6927	multiuse	no		9=warbear plain ushanka; 10=warbear plain helm; 11=warbear plain fedora; 21=warbear lined ushanka; 22=warbear spiked helm; 23=warbear feathered fedora; 35=warbear heated ushanka; 36=warbear electro-spiked helm; 37=warbear fancy fedora	warbear plain ushanka; warbear plain helm; warbear plain fedora; warbear lined ushanka; warbear spiked helm; warbear feathered fedora; warbear heated ushanka; warbear electro-spiked helm; warbear fancy fedora
Warbear hoverbelt piecepart	6914	multiuse	no		8=warbear hoverbelt	warbear hoverbelt
Warbear metalworking primer	7042	items	all			*warbear metalworking primer (used)
Warbear soda machine	7059	items	no			Cloaca Cola Polar
Warbear soda machine assembler	7034	items	no			warbear soda machine
Warbear trouser fragment	6937	multiuse	no		9=warbear long johns; 10=warbear battle greaves; 11=warbear party pants; 21=warbear fleece-lined long johns; 22=warbear officer greaves; 23=warbear ceremonial party pants; 35=warbear electric long johns; 36=warbear bearserker greaves; 37=warbear high festival pants	warbear long johns; warbear battle greaves; warbear party pants; warbear fleece-lined long johns; warbear officer greaves; warbear ceremonial party pants; warbear electric long johns; warbear bearserker greaves; warbear high festival pants
Wardrobe-o-matic	11390	items	no			futuristic shirt; futuristic hat; futuristic collar
Warm Subject gift certificate	621	meat	no	400-500		goth kid t-shirt
Weathered barrel	8571	items	no			banana; barrel cracker; barrel pickle; bean burrito; enchanted bean burrito; jumping bean burrito; tiny barrel
White candygram	2310	items	no			white candy heart
Wok lobster	4155	items	no			rock lobster
Wrapped Baseball Diamond	12215	items	no			Baseball Diamond
Wrapped candy cane sword cane	11364	items	no			candy cane sword cane
Wumpus hair	4044	multiuse	no		2=wumpus-hair bolo; 5=wumpus-hair net; 11=wumpus-hair whip; 16=wumpus-hair wig; 23=wumpus-hair loincloth; 30=wumpus-hair sweater	wumpus-hair bolo; wumpus-hair net; wumpus-hair whip; wumpus-hair wig; wumpus-hair loincloth; wumpus-hair sweater
Xiblaxian cache locator simcode	7738	items	no			Xiblaxian 5D printer
Xiblaxian holo-wrist-puter simcode	7737	items	no			Xiblaxian holo-wrist-puter
Yellow candygram	2314	items	no			yellow candy heart
Yellow gummi ingot	5456	items	no			gummi canary
Zu Mannkäse Dienen	4409	items	all			*Zu Mannkäse Dienen (used)
